CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Surprise_Opaque_Fees,Security,Scheme_Personalization,Minimum_Required_Balance,Server_Maintenance_Count,Customer_Rating,Average_Complaints,Customer_Feedback,Complaint_Type,Attrition_Flag_Encoded,Gender_Encoded,Education_Level_Encoded,Marital_Status_Encoded,Income_Category_Encoded,Card_Category_Encoded,Inactivity_Flag,Engagement_Score,Trans_Freq_3M,High_Value_Customer,AI_Engagement_Trigger,Days_Since_Last_Transaction,Inactive_90Days_Flag,Cluster,Customer_Status,PCA1,PCA2,Segment,Recommended_Offers,Churn
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0,1,0,1,1,3.5,1,"Great service, very helpful staff.",0,1,1,3,1,2,0,0,7.368421052631578,3.230769230769231,1,0,27.209302325581397,0,2,At Risk,0.9500613202104924,1.8341735093941571,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0,1,0,0,7,0.5,1,Smooth and easy process.,0,1,0,2,2,4,0,0,4.2105263157894735,2.25,0,0,38.8235294117647,0,2,Others,0.930785198406717,-1.4528078579756398,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0,1,0,0,7,1.5,10,Service was okay.,0,1,1,2,1,3,0,0,0.8771929824561403,1.6666666666666667,0,0,51.42857142857143,0,2,At Risk,1.4976919758094465,-3.6019693741108405,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0,1,0,0,7,4.0,9,Need to improve mobile app features.,3,1,0,3,3,4,0,1,3.947368421052632,1.7647058823529411,0,1,48.57142857142857,0,1,Others,1.4348818439685767,-1.5183565219931865,At Risk,Retention Discount / Cashback; Personalized Outreach / Call; Loyalty Points Boost,0
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0,1,1,0,7,4.8,8,Smooth and easy process.,0,1,1,5,1,2,0,0,4.473684210526316,4.0,0,0,21.724137931034484,0,2,Others,-0.6352481222567121,-0.2707431215897439,Dormant,Reactivation Campaign; Limited-time Incentives; Feature Reminder / App Engagement,0
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0,1,0,0,1,1.7,5,Had a billing complaint.,1,1,1,2,1,1,0,0,3.8596491228070176,2.0,0,0,43.2,0,0,At Risk,1.9762549358749018,-0.8474466030986573,Stable,Gradual Upsell / Cross-sell; Regular Engagement Notifications; Periodic Rewards,0
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0,0,0,1,4,2.6,3,Experienced a problem with online banking.,3,1,1,6,1,0,1,0,5.87719298245614,2.0217391304347827,1,0,43.125,0,3,At Risk,2.3618664323872745,0.5927073448557918,Loyal,Referral Programs; Premium Perks; Anniversary / Milestone Gifts,0
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0,0,1,1,6,1.0,2,The ATM was out of order.,0,1,1,3,3,2,3,0,4.298245614035087,4.0,1,0,21.89189189189189,0,4,Others,-0.4357122894558786,0.07448758399505934,High Value,VIP Treatment / Premium Offers; Concierge / Priority Service; Exclusive Rewards,0
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0,1,0,1,2,4.9,0,Difficulty accessing my account.,3,1,1,5,2,2,0,0,7.368421052631579,2.0,1,0,43.2,0,3,Others,0.9812290722970362,1.6827582246813524,Loyal,Referral Programs; Premium Perks; Anniversary / Milestone Gifts,0
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0,1,0,1,5,2.9,3,Experienced a problem with online banking.,3,1,1,2,2,3,0,1,6.140350877192981,2.6666666666666665,1,0,32.72727272727273,0,3,At Risk,1.9415349986978718,0.9430494884886481,Loyal,Referral Programs; Premium Perks; Anniversary / Milestone Gifts,0
